date,Bitcoin Trend ,Cryptocurrency,crypto all time high,isPartial
1/1/2017 0:00,31,1,0,FALSE
1/1/2017 1:00,30,1,0,FALSE
1/1/2017 2:00,32,1,0,FALSE
1/1/2017 3:00,34,1,0,FALSE
1/1/2017 4:00,29,1,0,FALSE
1/1/2017 5:00,29,1,0,FALSE
1/1/2017 6:00,29,1,0,FALSE
1/1/2017 7:00,29,1,0,FALSE
1/1/2017 8:00,29,1,0,FALSE
1/1/2017 9:00,27,1,0,FALSE
1/1/2017 10:00,27,1,0,FALSE
1/1/2017 11:00,28,1,0,FALSE
1/1/2017 12:00,29,1,0,FALSE
1/1/2017 13:00,28,1,0,FALSE
1/1/2017 14:00,30,1,0,FALSE
1/1/2017 15:00,31,1,0,FALSE
1/1/2017 16:00,34,1,0,FALSE
1/1/2017 17:00,41,1,0,FALSE
1/1/2017 18:00,43,1,0,FALSE
1/1/2017 19:00,43,1,0,FALSE
1/1/2017 20:00,49,1,0,FALSE
1/1/2017 21:00,55,1,0,FALSE
1/1/2017 22:00,53,1,0,FALSE
1/1/2017 23:00,54,1,0,FALSE
1/2/2017 0:00,49,1,0,FALSE
1/2/2017 1:00,49,1,0,FALSE
1/2/2017 2:00,51,1,0,FALSE
1/2/2017 3:00,56,1,0,FALSE
1/2/2017 4:00,55,1,0,FALSE
1/2/2017 5:00,55,1,0,FALSE
1/2/2017 6:00,53,1,0,FALSE
1/2/2017 7:00,50,1,0,FALSE
1/2/2017 8:00,46,2,0,FALSE
1/2/2017 9:00,46,2,0,FALSE
1/2/2017 10:00,49,1,0,FALSE
1/2/2017 11:00,51,1,0,FALSE
1/2/2017 12:00,53,1,0,FALSE
1/2/2017 13:00,59,1,0,FALSE
1/2/2017 14:00,60,1,0,FALSE
1/2/2017 15:00,61,2,0,FALSE
1/2/2017 16:00,65,1,0,FALSE
1/2/2017 17:00,63,1,0,FALSE
1/2/2017 18:00,64,1,0,FALSE
1/2/2017 19:00,64,1,0,FALSE
1/2/2017 20:00,64,1,0,FALSE
1/2/2017 21:00,65,2,0,FALSE
1/2/2017 22:00,64,1,0,FALSE
1/2/2017 23:00,66,2,0,FALSE
1/3/2017 0:00,63,1,0,FALSE
1/3/2017 1:00,59,1,0,FALSE
1/3/2017 2:00,58,1,0,FALSE
1/3/2017 3:00,59,1,0,FALSE
1/3/2017 4:00,59,1,0,FALSE
1/3/2017 5:00,57,2,0,FALSE
1/3/2017 6:00,58,2,0,FALSE
1/3/2017 7:00,55,2,0,FALSE
1/3/2017 8:00,54,2,0,FALSE
1/3/2017 9:00,52,2,0,FALSE
1/3/2017 10:00,50,2,0,FALSE
1/3/2017 11:00,53,2,0,FALSE
1/3/2017 12:00,51,2,0,FALSE
1/3/2017 13:00,50,1,0,FALSE
1/3/2017 14:00,52,1,0,FALSE
1/3/2017 15:00,51,1,0,FALSE
1/3/2017 16:00,51,1,0,FALSE
1/3/2017 17:00,50,1,0,FALSE
1/3/2017 18:00,51,1,0,FALSE
1/3/2017 19:00,52,2,0,FALSE
1/3/2017 20:00,53,2,0,FALSE
1/3/2017 21:00,55,1,0,FALSE
1/3/2017 22:00,57,2,0,FALSE
1/3/2017 23:00,59,1,0,FALSE
1/4/2017 0:00,58,1,0,FALSE
1/4/2017 1:00,56,1,0,FALSE
1/4/2017 2:00,57,1,0,FALSE
1/4/2017 3:00,57,1,0,FALSE
1/4/2017 4:00,57,1,0,FALSE
1/4/2017 5:00,58,2,0,FALSE
1/4/2017 6:00,57,2,0,FALSE
1/4/2017 7:00,57,2,0,FALSE
